Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE,Latitude,Longitude
195,PMR CH5,446.05625,,,,,,,,,,FM,5,,5.0W,,,,,,,
196,PMR CH6,446.06875,,,,,,,,,,FM,5,,5.0W,,,,,,,
197,PMR CH7,446.08125,,,,,,,,,,FM,5,,5.0W,,,,,,,
198,PMR CH8,446.09375,,,,,,,,,,FM,5,,5.0W,,,,,,,
199,PMR CH9,446.10625,,,,,,,,,,FM,5,,5.0W,,,,,,,
200,PMR CH10,446.11875,,,,,,,,,,FM,5,,5.0W,,,,,,,
201,PMR CH11,446.13125,,,,,,,,,,FM,5,,5.0W,,,,,,,
202,PMR CH12,446.14375,,,,,,,,,,FM,5,,5.0W,,,,,,,
203,PMR CH13,446.15625,,,,,,,,,,FM,5,,5.0W,,,,,,,
204,PMR CH14,446.16875,,,,,,,,,,FM,5,,5.0W,,,,,,,
205,PMR CH15,446.18125,,,,,,,,,,FM,5,,5.0W,,,,,,,
206,PMR CH16,446.19375,,,,,,,,,,FM,5,,5.0W,,,,,,,
